,Name,About,Category
0,cat,cat felis catus domestic species small carnivorous mammal domesticated species family felidae often referred domestic cat distinguish wild members family cat either house cat farm cat feral cat latter ranges freely avoids human contact domestic cats valued humans companionship ability hunt rodents cat breeds recognized various cat registries cat similar anatomy felid species strong flexible body quick reflexes sharp teeth retractable claws adapted killing small prey night vision sense smell well developed cat communication includes vocalizations like meowing purring trilling hissing growling grunting well cat specific body language solitary hunter social species hear sounds faint high frequency human ears made mice small mammals predator active dawn dusk secretes perceives pheromones female domestic cats kittens spring late autumn litter sizes often ranging two five kittens domestic cats bred shown events registered pedigreed cats hobby known cat fancy failure control breeding pet cats spaying neutering well abandonment pets resulted large numbers feral cats worldwide contributing extinction entire bird mammal reptile species evoking population control cats first domesticated near east around bce long thought cat domestication initiated ancient egypt since around bce veneration given cats ancient egypt domestic cat second popular pet united states million cats owned united kingdom around million cats lived million households,animal
1,dog,canis familiaris linnaeus aegyptius linnaeus alco c e h smith americanus gmelin anglicus gmelin antarcticus gmelin aprinus gmelin aquaticus linnaeus aquatilis gmelin avicularis gmelin borealis c e h smith brevipilis gmelin cursorius gmelin domesticus linnaeus extrarius gmelin ferus c e h smith fricator gmelin fricatrix linnaeus fuillus gmelin gallicus gmelin glaucus c e h smith graius linnaeus grajus gmelin hagenbecki krumbiegel haitensis c e h smith hibernicus gmelin hirsutus gmelin hybridus gmelin islandicus gmelin italicus gmelin laniarius gmelin leoninus gmelin leporarius c e h smith major gmelin mastinus linnaeus melitacus gmelin melitaeus linnaeus minor gmelin molossus gmelin mustelinus linnaeus obesus gmelin orientalis gmelin pacificus c e h smith plancus gmelin pomeranus gmelin sagaces c e h smith sanguinarius c e h smith sagax linnaeus scoticus gmelin sibiricus gmelin suillus c e h smith terraenovae c e h smith terrarius c e h smith turcicus gmelin urcani c e h smith variegatus gmelin venaticus gmelin vertegus gmelin dog canis familiaris considered distinct species canis lupus familiaris considered subspecies wolf domesticated carnivore family canidae part wolf like canids widely abundant terrestrial carnivore dog extant gray wolf sister taxa modern wolves closely related wolves first domesticated implies direct ancestor dog extinct dog first species domesticated selectively bred millennia various behaviors sensory capabilities physical attributes long association humans led dogs uniquely attuned human behavior thrive starch rich diet would inadequate canids dogs vary widely shape size colors perform many roles humans hunting herding pulling loads protection assisting police military companionship recently aiding disabled people therapeutic roles influence human society given sobriquet man best friend swedish botanist zoologist carl linnaeus published systema naturae binomial nomenclature two word naming species canis latin word meaning dog genus listed dog like carnivores including domestic dogs wolves jackals classified domestic dog canis familiaris next page classified wolf canis lupus linnaeus considered dog separate species wolf cauda recurvata upturning tail found canid,animal
2,tiger,tiger panthera tigris largest extant cat species member genus panthera recognisable dark vertical stripes orange brown fur lighter underside apex predator primarily preying ungulates deer wild boar territorial generally solitary social predator requiring large contiguous areas habitat support requirements prey rearing offspring tiger cubs stay mother two years become independent leave mother home range establish tiger ranged widely eastern anatolia region west amur river basin south foothills himalayas bali sunda islands since early th century tiger populations lost least historic range extirpated western central asia islands java bali large areas southeast south asia china today tiger range fragmented stretching siberian temperate forests subtropical tropical forests indian subcontinent sumatra tiger listed endangered iucn red list global wild tiger population estimated number mature individuals populations living small pockets isolated india currently hosts largest tiger population major reasons population decline habitat destruction habitat fragmentation poaching tigers also victims human wildlife conflict particular range countries high human population density tiger among recognisable popular world charismatic megafauna featured prominently ancient mythology folklore continues depicted modern films literature appearing many flags coats arms mascots sporting teams tiger national animal india bangladesh malaysia south korea middle english tigre old english tigras derive old french tigre latin tigris borrowing classical greek tigris foreign borrowing unknown origin meaning tiger well river tigris origin may persian word tigra meaning pointed sharp avestan word tigrhi arrow perhaps referring speed tiger leap although words known meanings associated tigers,animal
3,wolf,see subspecies canis lupus wolf canis lupus also known gray wolf grey wolf large canine native eurasia north america thirty subspecies canis lupus recognized gray wolves colloquially understood comprise non domestic feral subspecies wolf largest extant member canidae males averaging kg lb females kg lb wolves measure cm length cm shoulder height wolf also distinguished canis species less pointed ears muzzle well shorter torso longer tail wolf nonetheless related closely enough smaller canis species coyote golden jackal produce fertile hybrids banded fur wolf usually mottled white brown gray black although subspecies arctic region may nearly white members genus canis wolf specialized cooperative game hunting demonstrated physical adaptations tackling large prey social nature highly advanced expressive behaviour travels nuclear families consisting mated pair accompanied offspring offspring may leave form packs onset sexual maturity response competition food within pack wolves also territorial fights territory among principal causes wolf mortality wolf mainly carnivore feeds large wild hooved mammals well smaller animals livestock carrion garbage single wolves mated pairs typically higher success rates hunting large packs pathogens parasites notably rabies may infect wolves global wild wolf population estimated considered least concern international union conservation nature iucn wolves long history interactions humans despised hunted pastoral communities attacks livestock conversely respected agrarian hunter gatherer societies although fear wolves exists many human societies majority recorded attacks people attributed animals suffering rabies wolf attacks humans rare wolves relatively live away people developed fear humans experiences hunters ranchers shepherds english wolf stems old english wulf thought derived proto germanic wulfaz proto indo european root w k os may also source latin word animal lupus l k os name gray wolf refers grayish colour species,animal
4,shark,carcharhiniformes heterodontiformes hexanchiformes lamniformes orectolobiformes pristiophoriformes squaliformes squatiniformes cladoselachiformes hybodontiformes symmoriida xenacanthida xenacantiformes elegestolepis sharks group elasmobranch fish characterized cartilaginous skeleton five seven gill slits sides head pectoral fins fused head modern sharks classified within clade selachimorpha selachii sister group rays however term shark also used extinct members subclass elasmobranchii outside selachimorpha cladoselache xenacanthus well chondrichthyes holocephalid eugenedontidans broader definition earliest known sharks date back million years ago acanthodians often referred spiny sharks though part chondrichthyes proper paraphyletic assemblage leading cartilaginous fish whole since sharks diversified species range size small dwarf lanternshark etmopterus perryi deep sea species centimetres length whale shark rhincodon typus largest fish world reaches approximately metres ft length sharks found seas common depths metres ft generally live freshwater although known exceptions bull shark river shark found seawater freshwater sharks covering dermal denticles protects skin damage parasites addition improving fluid dynamics numerous sets replaceable teeth well known species tiger shark blue shark great white shark mako shark thresher shark hammerhead shark apex predators organisms top underwater food chain many shark populations threatened human activities th century sharks known mariners sea dogs still evidential several species termed dogfish porbeagle,animal
5,whale,whales widely distributed diverse group fully aquatic placental marine mammals informal grouping within infraorder cetacea usually excluding dolphins porpoises whales dolphins porpoises belong order cetartiodactyla consists even toed ungulates closest living relatives hippopotamuses diverged million years ago two parvorders whales baleen whales mysticeti toothed whales odontoceti thought split apart around million years ago whales consist eight extant families balaenopteridae rorquals balaenidae right whales cetotheriidae pygmy right whale eschrichtiidae grey whale monodontidae belugas narwhals physeteridae sperm whale kogiidae dwarf pygmy sperm whale ziphiidae beaked whales whales fully aquatic open ocean creatures feed mate give birth suckle raise young sea whales range size metres ft kilograms lb dwarf sperm whale metres ft metric tons short tons blue whale largest known creature ever lived sperm whale largest toothed predator earth several species exhibit sexual dimorphism females larger males baleen whales teeth instead plates baleen fringe like structure used expel water retaining krill plankton feed use throat pleats expand mouth take huge gulps water balaenids heads make body mass take water toothed whales hand conical teeth adapted catching fish squid baleen whales well developed sense smell whereas toothed whales well developed hearing hearing adapted air water well developed survive even blind species sperm whales well adapted diving great depths catch squid favoured prey whales evolved land living mammals whales must breathe air regularly although remain submerged water long periods time species sperm whale able stay submerged much minutes blowholes modified nostrils located top heads air taken expelled warm blooded layer fat blubber skin streamlined fusiform bodies two limbs modified flippers whales travel knots though flexible agile seals whales produce great variety vocalizations notably extended songs humpback whale although whales widespread species prefer colder waters northern southern hemispheres migrate equator give birth species humpbacks blue whales capable travelling thousands miles without feeding males typically mate multiple females every year females mate every two three years calves typically born spring summer months females bear responsibility raising mothers species fast nurse young one two years relentlessly hunted products whales protected international law north atlantic right whales nearly became extinct twentieth century population low north pacific grey whale population ranked critically endangered iucn besides whaling also face threats bycatch marine pollution meat blubber baleen whales traditionally used indigenous peoples arctic whales depicted various cultures worldwide notably inuit coastal peoples vietnam ghana sometimes hold whale funerals whales occasionally feature literature film great white whale herman melville moby dick small whales belugas sometimes kept captivity trained perform tricks breeding success poor animals often die within months capture whale watching become form tourism around world,animal
6,lion,lion panthera leo species family felidae member genus panthera muscular deep chested body short rounded head round ears hairy tuft end tail sexually dimorphic adult male lions prominent mane typical head body length cm larger females cm social species forming groups called prides lion pride consists adult males related females cubs groups female lions usually hunt together preying mostly large ungulates lion apex keystone predator although lions scavenge opportunities occur known hunt humans species typically typically lion inhabits grasslands savannas absent dense forests usually diurnal big cats persecuted adapts active night twilight pleistocene lion ranged throughout eurasia africa north america today reduced fragmented populations sub saharan africa one critically endangered population western india listed vulnerable iucn red list since populations african countries declined since early lion populations untenable outside designated protected areas although cause decline fully understood habitat loss conflicts humans greatest causes concern one widely recognised animal symbols human culture lion extensively depicted sculptures paintings national flags contemporary films literature lions kept menageries since time roman empire key species sought exhibition zoological gardens across world since late th century cultural depictions lions prominent upper paleolithic period carvings paintings lascaux chauvet caves france dated years ago depictions occurred virtually ancient medieval cultures coincided lion former current ranges word lion derived latin leo ancient greek leon word lavi hebrew may also related generic name panthera traceable classical latin word panth ra ancient greek word panther panthera phonetically similar sanskrit word p nd ara meaning pale yellow whitish white,animal
7,shrimp,shrimp decapod crustaceans elongated bodies primarily swimming mode locomotion commonly caridea dendrobranchiata narrow definitions may restricted caridea smaller species either group marine species broader definition shrimp may synonymous prawn covering stalk eyed swimming crustaceans long narrow muscular tails abdomens long whiskers antennae slender legs small crustacean resembles shrimp tends called one swim forward paddling swimmerets underside abdomens although escape response typically repeated flicks tail driving backwards quickly crabs lobsters strong walking legs whereas shrimp thin fragile legs use primarily perching shrimp widespread abundant thousands species adapted wide range habitats found feeding near seafloor coasts estuaries well rivers lakes escape predators species flip seafloor dive sediment usually live one seven years shrimp often solitary though form large schools spawning season play important roles food chain important food source larger animals ranging fish whales muscular tails many shrimp edible humans widely caught farmed human consumption commercial shrimp species support industry worth billion dollars year total commercial production shrimp nearly million tonnes shrimp farming became prevalent particularly china harvest shrimp farms exceeded capture wild shrimp significant issues excessive bycatch shrimp captured wild pollution damage done estuaries used support shrimp farming many shrimp species small term shrimp suggests cm long shrimp exceed cm larger shrimp likely targeted commercially often referred prawns particularly britain raymond bauer remarkable shrimps english oxford dictionaries,animal
8,frog,archaeobatrachia mesobatrachia neobatrachia list anuran families frog member diverse largely carnivorous group short bodied tailless amphibians composing order anura literally without tail ancient greek oldest fossil proto frog appeared early triassic madagascar molecular clock dating suggests origins may extend back permian million years ago frogs widely distributed ranging tropics subarctic regions greatest concentration species diversity tropical rainforest recorded species accounting around extant amphibian species also one five diverse vertebrate orders warty frog species tend called toads distinction frogs toads informal taxonomy evolutionary history toads frogs frogs toads adult frog stout body protruding eyes anteriorly attached tongue limbs folded underneath tail except tailed frogs frogs glandular skin secretions ranging distasteful toxic skin varies colour well camouflaged dappled brown grey green vivid patterns bright red yellow black show toxicity ward predators adult frogs live fresh water dry land species adapted living underground trees frogs typically lay eggs water eggs hatch aquatic larvae called tadpoles tails internal gills highly specialized rasping mouth parts suitable herbivorous omnivorous planktivorous diets life cycle completed metamorphose adults species deposit eggs land bypass tadpole stage adult frogs generally carnivorous diet consisting small invertebrates omnivorous species exist feed plant matter frog skin rich microbiome important health frogs extremely efficient converting eat body mass important food source predators part food web dynamics many world ecosystems skin semi permeable making susceptible dehydration either live moist places special adaptations deal dry habitats frogs produce wide range vocalizations particularly breeding season exhibit many different kinds complex behaviours attract mates fend predators generally survive,animal
9,toad,list anuran families toad common name certain frogs especially family bufonidae characterized dry leathery skin short legs large bumps covering parotoid glands distinction frogs toads made scientific taxonomy common popular culture folk taxonomy toads associated drier rougher skin terrestrial habitats scientific taxonomy toads found families bufonidae bombinatoridae calyptocephalellidae discoglossidae myobatrachidae pelobatidae rhinophrynidae scaphiopodidae microhylidae,animal
